"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1414",1,1,0,1
"ASV_838",2,1,0,2
"ASV_961",2,1,0,2
"ASV_2118",3,1,0,3
"ASV_1065",3,1,0,3
"ASV_3187",3,1,0,3
"ASV_1641",2,1,0,2
"ASV_5697",2,1,0,2
"ASV_23",6,1,0,6
"ASV_298",6,1,0,6
"ASV_495",6,1,0,6
"ASV_871",6,1,0,6
"ASV_3056",6,1,0,6
"ASV_1736",6,1,0,6
"ASV_273",6,1,0,6
"ASV_1217",6,1,0,6
"ASV_630",6,1,0,6
"ASV_735",6,1,0,6
"ASV_2613",6,1,0,6
"ASV_1236",6,1,0,6
"ASV_455",3,1,0,3
"ASV_1120",3,1,0,3
"ASV_406",3,1,0,3
"ASV_49",5,1,0,5
"ASV_812",5,1,0,5
"ASV_540",5,1,0,5
"ASV_695",5,1,0,5
"ASV_2032",5,1,0,5
"ASV_228",5,1,0,5
"ASV_596",5,1,0,5
"ASV_944",5,1,0,5
"ASV_478",5,1,0,5
"ASV_510",5,1,0,5
"ASV_1342",3,1,0,3
"ASV_1607",3,1,0,3
"ASV_749",3,1,0,3
"ASV_41",14,1,0,14
"ASV_81",14,1,0,14
"ASV_95",14,1,0,14
"ASV_970",14,1,0,14
"ASV_85",14,1,0,14
"ASV_235",14,1,0,14
"ASV_421",14,1,0,14
"ASV_258",14,1,0,14
"ASV_1025",14,1,0,14
"ASV_2633",14,1,0,14
"ASV_5228",14,1,0,14
"ASV_3791",14,1,0,14
"ASV_1365",14,1,0,14
"ASV_1033",14,1,0,14
"ASV_135",3,1,0,3
"ASV_171",3,1,0,3
"ASV_1244",3,1,0,3
"ASV_73",3,1,0,3
"ASV_341",3,1,0,3
"ASV_886",3,1,0,3
"ASV_80",12,1,0,12
"ASV_276",12,1,0,12
"ASV_253",12,1,0,12
"ASV_1180",12,1,0,12
"ASV_51",12,1,0,12
"ASV_874",12,1,0,12
"ASV_34",12,1,0,12
"ASV_164",12,1,0,12
"ASV_1976",12,1,0,12
"ASV_1100",12,1,0,12
"ASV_1280",12,1,0,12
"ASV_814",12,1,0,12
"ASV_1012",2,1,0,2
"ASV_959",2,1,0,2
"ASV_67",5,1,0,5
"ASV_111",5,1,0,5
"ASV_774",5,1,0,5
"ASV_2770",5,1,0,5
"ASV_1978",5,1,0,5
"ASV_1292",7,1,0,7
"ASV_965",7,1,0,7
"ASV_5134",7,1,0,7
"ASV_1489",7,1,0,7
"ASV_845",7,1,0,7
"ASV_1028",7,1,0,7
"ASV_4840",7,1,0,7
"ASV_643",2,1,0,2
"ASV_583",2,1,0,2
"ASV_1724",1,1,0,1
"ASV_682",3,1,0,3
"ASV_650",3,1,0,3
"ASV_1136",3,1,0,3
"ASV_1660",2,1,0,2
"ASV_3375",2,1,0,2
"ASV_99",8,1,0,8
"ASV_1159",8,1,0,8
"ASV_53",8,1,0,8
"ASV_1584",8,1,0,8
"ASV_903",8,1,0,8
"ASV_4104",8,1,0,8
"ASV_1455",8,1,0,8
"ASV_6663",8,1,0,8
"ASV_27",4,1,0,4
"ASV_609",4,1,0,4
"ASV_1556",4,1,0,4
"ASV_987",4,1,0,4
"ASV_473",2,1,0,2
"ASV_1024",2,1,0,2
"ASV_1355",4,1,0,4
"ASV_1130",4,1,0,4
"ASV_5757",4,1,0,4
"ASV_1527",4,1,0,4
"ASV_93",16,1,0,16
"ASV_63",16,1,0,16
"ASV_843",16,1,0,16
"ASV_932",16,1,0,16
"ASV_1483",16,1,0,16
"ASV_1391",16,1,0,16
"ASV_629",16,1,0,16
"ASV_1436",16,1,0,16
"ASV_2789",16,1,0,16
"ASV_985",16,1,0,16
"ASV_1321",16,1,0,16
"ASV_2953",16,1,0,16
"ASV_688",16,1,0,16
"ASV_1430",16,1,0,16
"ASV_3307",16,1,0,16
"ASV_1444",16,1,0,16
"ASV_476",3,1,0,3
"ASV_1297",3,1,0,3
"ASV_1183",3,1,0,3
"ASV_309",9,1,0,9
"ASV_267",9,1,0,9
"ASV_145",9,1,0,9
"ASV_277",9,1,0,9
"ASV_1102",9,1,0,9
"ASV_1089",9,1,0,9
"ASV_74",9,1,0,9
"ASV_641",9,1,0,9
"ASV_1598",9,1,0,9
"ASV_2254",8,1,0,8
"ASV_489",8,1,0,8
"ASV_636",8,1,0,8
"ASV_878",8,1,0,8
"ASV_3463",8,1,0,8
"ASV_1541",8,1,0,8
"ASV_6280",8,1,0,8
"ASV_2946",8,1,0,8
"ASV_2307",2,1,0,2
"ASV_1250",2,1,0,2
"ASV_257",3,1,0,3
"ASV_1388",3,1,0,3
"ASV_930",3,1,0,3
"ASV_2",24,1,0,24
"ASV_142",24,1,0,24
"ASV_404",24,1,0,24
"ASV_433",24,1,0,24
"ASV_2951",24,1,0,24
"ASV_792",24,1,0,24
"ASV_84",24,1,0,24
"ASV_808",24,1,0,24
"ASV_511",24,1,0,24
"ASV_2428",24,1,0,24
"ASV_2893",24,1,0,24
"ASV_1239",24,1,0,24
"ASV_2902",24,1,0,24
"ASV_897",24,1,0,24
"ASV_240",24,1,0,24
"ASV_6538",24,1,0,24
"ASV_1246",24,1,0,24
"ASV_1375",24,1,0,24
"ASV_1199",24,1,0,24
"ASV_538",24,1,0,24
"ASV_4323",24,1,0,24
"ASV_1191",24,1,0,24
"ASV_1888",24,1,0,24
"ASV_1467",24,1,0,24
"ASV_378",2,1,0,2
"ASV_3863",2,1,0,2
"ASV_425",3,1,0,3
"ASV_346",3,1,0,3
"ASV_183",3,1,0,3
"ASV_144",3,1,0,3
"ASV_4201",3,1,0,3
"ASV_1169",3,1,0,3
"ASV_619",4,1,0,4
"ASV_830",4,1,0,4
"ASV_2271",4,1,0,4
"ASV_2768",4,1,0,4
"ASV_388",2,1,0,2
"ASV_1270",2,1,0,2
"ASV_375",1,1,0,1
"ASV_45",11,1,0,11
"ASV_131",11,1,0,11
"ASV_42",11,1,0,11
"ASV_148",11,1,0,11
"ASV_1090",11,1,0,11
"ASV_347",11,1,0,11
"ASV_2709",11,1,0,11
"ASV_1854",11,1,0,11
"ASV_312",11,1,0,11
"ASV_2830",11,1,0,11
"ASV_3515",11,1,0,11
"ASV_608",1,1,0,1
"ASV_498",3,1,0,3
"ASV_3509",3,1,0,3
"ASV_1195",3,1,0,3
"ASV_670",7,1,0,7
"ASV_1258",7,1,0,7
"ASV_1593",7,1,0,7
"ASV_3622",7,1,0,7
"ASV_2003",7,1,0,7
"ASV_4656",7,1,0,7
"ASV_2547",7,1,0,7
"ASV_292",3,1,0,3
"ASV_149",3,1,0,3
"ASV_8269",3,1,0,3
"ASV_440",5,1,0,5
"ASV_313",5,1,0,5
"ASV_661",5,1,0,5
"ASV_614",5,1,0,5
"ASV_3070",5,1,0,5
"ASV_101",4,1,0,4
"ASV_546",4,1,0,4
"ASV_139",4,1,0,4
"ASV_480",4,1,0,4
"ASV_222",1,1,0,1
"ASV_71",19,1,0,19
"ASV_451",19,1,0,19
"ASV_398",19,1,0,19
"ASV_308",19,1,0,19
"ASV_1688",19,1,0,19
"ASV_377",19,1,0,19
"ASV_493",19,1,0,19
"ASV_1054",19,1,0,19
"ASV_721",19,1,0,19
"ASV_2011",19,1,0,19
"ASV_477",19,1,0,19
"ASV_2116",19,1,0,19
"ASV_952",19,1,0,19
"ASV_1011",19,1,0,19
"ASV_3273",19,1,0,19
"ASV_1055",19,1,0,19
"ASV_1126",19,1,0,19
"ASV_1346",19,1,0,19
"ASV_7471",19,1,0,19
"ASV_486",3,1,0,3
"ASV_255",3,1,0,3
"ASV_1490",3,1,0,3
"ASV_174",4,1,0,4
"ASV_2218",4,1,0,4
"ASV_1187",4,1,0,4
"ASV_637",4,1,0,4
"ASV_1709",10,1,0,10
"ASV_205",10,1,0,10
"ASV_1228",10,1,0,10
"ASV_1018",10,1,0,10
"ASV_226",10,1,0,10
"ASV_725",10,1,0,10
"ASV_3106",10,1,0,10
"ASV_1138",10,1,0,10
"ASV_937",10,1,0,10
"ASV_1457",10,1,0,10
"ASV_129",13,1,0,13
"ASV_83",13,1,0,13
"ASV_78",13,1,0,13
"ASV_772",13,1,0,13
"ASV_513",13,1,0,13
"ASV_445",13,1,0,13
"ASV_497",13,1,0,13
"ASV_918",13,1,0,13
"ASV_2160",13,1,0,13
"ASV_278",13,1,0,13
"ASV_678",13,1,0,13
"ASV_374",13,1,0,13
"ASV_429",13,1,0,13
"ASV_296",1,1,0,1
"ASV_290",19,1,0,19
"ASV_109",19,1,0,19
"ASV_332",19,1,0,19
"ASV_201",19,1,0,19
"ASV_350",19,1,0,19
"ASV_76",19,1,0,19
"ASV_300",19,1,0,19
"ASV_230",19,1,0,19
"ASV_617",19,1,0,19
"ASV_438",19,1,0,19
"ASV_400",19,1,0,19
"ASV_675",19,1,0,19
"ASV_236",19,1,0,19
"ASV_1003",19,1,0,19
"ASV_672",19,1,0,19
"ASV_260",19,1,0,19
"ASV_1506",19,1,0,19
"ASV_4370",19,1,0,19
"ASV_1083",19,1,0,19
"ASV_447",4,1,0,4
"ASV_606",4,1,0,4
"ASV_1791",4,1,0,4
"ASV_1488",4,1,0,4
"ASV_130",6,1,0,6
"ASV_459",6,1,0,6
"ASV_1341",6,1,0,6
"ASV_541",6,1,0,6
"ASV_1519",6,1,0,6
"ASV_2240",6,1,0,6
"ASV_87",2,1,0,2
"ASV_821",2,1,0,2
"ASV_703",1,1,0,1
"ASV_407",3,1,0,3
"ASV_1095",3,1,0,3
"ASV_818",3,1,0,3
"ASV_2914",1,1,0,1
"ASV_1512",8,1,0,8
"ASV_147",8,1,0,8
"ASV_731",8,1,0,8
"ASV_386",8,1,0,8
"ASV_1116",8,1,0,8
"ASV_822",8,1,0,8
"ASV_2634",8,1,0,8
"ASV_3982",8,1,0,8
"ASV_72",6,1,0,6
"ASV_366",6,1,0,6
"ASV_1793",6,1,0,6
"ASV_1989",6,1,0,6
"ASV_750",6,1,0,6
"ASV_716",6,1,0,6
"ASV_732",3,1,0,3
"ASV_841",3,1,0,3
"ASV_618",3,1,0,3
"ASV_202",1,1,0,1
"ASV_338",2,1,0,2
"ASV_1356",2,1,0,2
"ASV_247",5,1,0,5
"ASV_1743",5,1,0,5
"ASV_708",5,1,0,5
"ASV_680",5,1,0,5
"ASV_567",5,1,0,5
"ASV_2161",1,1,0,1
"ASV_3834",1,1,0,1
"ASV_279",1,1,0,1
"ASV_2683",3,1,0,3
"ASV_1705",3,1,0,3
"ASV_3905",3,1,0,3
"ASV_536",2,1,0,2
"ASV_423",2,1,0,2
"ASV_323",4,1,0,4
"ASV_431",4,1,0,4
"ASV_158",4,1,0,4
"ASV_104",4,1,0,4
"ASV_1304",2,1,0,2
"ASV_901",2,1,0,2
"ASV_2342",2,1,0,2
"ASV_1992",2,1,0,2
"ASV_1192",2,1,0,2
"ASV_3885",2,1,0,2
"ASV_178",9,1,0,9
"ASV_369",9,1,0,9
"ASV_819",9,1,0,9
"ASV_1413",9,1,0,9
"ASV_763",9,1,0,9
"ASV_782",9,1,0,9
"ASV_2282",9,1,0,9
"ASV_108",9,1,0,9
"ASV_3318",9,1,0,9
"ASV_683",2,1,0,2
"ASV_1051",2,1,0,2
"ASV_707",5,1,0,5
"ASV_1128",5,1,0,5
"ASV_612",5,1,0,5
"ASV_2682",5,1,0,5
"ASV_1155",5,1,0,5
"ASV_1064",2,1,0,2
"ASV_140",2,1,0,2
"ASV_1125",6,1,0,6
"ASV_4768",6,1,0,6
"ASV_48",6,1,0,6
"ASV_6333",6,1,0,6
"ASV_2494",6,1,0,6
"ASV_1394",6,1,0,6
"ASV_3964",3,1,0,3
"ASV_1048",3,1,0,3
"ASV_311",3,1,0,3
"ASV_232",3,1,0,3
"ASV_4240",3,1,0,3
"ASV_793",3,1,0,3
"ASV_424",10,1,0,10
"ASV_301",10,1,0,10
"ASV_294",10,1,0,10
"ASV_159",10,1,0,10
"ASV_972",10,1,0,10
"ASV_748",10,1,0,10
"ASV_699",10,1,0,10
"ASV_1015",10,1,0,10
"ASV_1047",10,1,0,10
"ASV_1747",10,1,0,10
"ASV_132",3,1,0,3
"ASV_1197",3,1,0,3
"ASV_1967",3,1,0,3
"ASV_107",3,1,0,3
"ASV_1841",3,1,0,3
"ASV_907",3,1,0,3
"ASV_689",4,1,0,4
"ASV_3518",4,1,0,4
"ASV_922",4,1,0,4
"ASV_1016",4,1,0,4
"ASV_1551",5,1,0,5
"ASV_2262",5,1,0,5
"ASV_185",5,1,0,5
"ASV_3803",5,1,0,5
"ASV_1599",5,1,0,5
"ASV_231",2,1,0,2
"ASV_1536",2,1,0,2
"ASV_634",1,1,0,1
"ASV_1412",1,1,0,1
"ASV_526",4,1,0,4
"ASV_1602",4,1,0,4
"ASV_2157",4,1,0,4
"ASV_225",4,1,0,4
"ASV_664",1,1,0,1
"ASV_3689",5,1,0,5
"ASV_904",5,1,0,5
"ASV_1424",5,1,0,5
"ASV_2312",5,1,0,5
"ASV_1591",5,1,0,5
"ASV_624",1,1,0,1
"ASV_1161",1,1,0,1
"ASV_626",1,1,0,1
"ASV_858",2,1,0,2
"ASV_1056",2,1,0,2
"ASV_1829",2,1,0,2
"ASV_2999",2,1,0,2
"ASV_2975",8,1,0,8
"ASV_182",8,1,0,8
"ASV_261",8,1,0,8
"ASV_137",8,1,0,8
"ASV_652",8,1,0,8
"ASV_813",8,1,0,8
"ASV_1656",8,1,0,8
"ASV_5800",8,1,0,8
"ASV_1045",2,1,0,2
"ASV_673",2,1,0,2
"ASV_339",2,1,0,2
"ASV_7411",2,1,0,2
"ASV_118",1,1,0,1
"ASV_2348",1,1,0,1
"ASV_271",1,1,0,1
