feature	ko05340	ko00564	ko00680	ko00562	ko03030	ko00561	ko00440	ko00250	ko04062	ko00740	ko04664	ko04940	ko00010	ko05412	ko00195	ko04650	ko03450	ko00760	ko00920	ko00311	ko00310	ko04146	ko00600	ko04141	ko04142	ko00604	ko04260	ko05142	ko04540	ko04712	ko00909	ko00513	ko04973	ko00510	ko05110	ko04974	ko04976	ko00450	ko01051	ko00565	ko00524	ko00300	ko00905	ko05222	ko00514	ko05416	ko00260	ko00190	ko03440	ko00750	ko00950	ko05140	ko00592	ko00591	ko00590	ko00062	ko00061	ko04662	ko03070	ko00253	ko03060	ko04370	ko04740	ko00380	ko00500	ko05120	ko04666	ko05322	ko04964	ko04960	ko04660	ko00625	ko00624	ko00627	ko00626	ko00621	ko00620	ko00623	ko00622	ko00270	ko04380	ko00940	ko00941	ko01053	ko00943	ko00100	ko00945	ko01057	ko01056	ko05016	ko04145	ko00071	ko00072	ko04360	ko05219	ko05215	ko05214	ko05213	ko05211	ko05210	ko01055	ko00902	ko04910	ko00531	ko04916	ko00360	ko00633	ko00630	ko00363	ko00364	ko05130	ko04115	ko04114	ko00121	ko04914	ko00430	ko02010	ko00130	ko04330	ko03050	ko00361	ko00040	ko00730	ko00362	ko01040	ko00603	ko03018	ko04270	ko00281	ko00280	ko03013	ko04626	ko05200	ko03015	ko00312	ko05020	ko05143	ko00523	ko00520	ko00521	ko05146	ko05145	ko05144	ko00052	ko00053	ko00051	ko00401	ko00400	ko04020	ko00350	ko00480	ko00643	ko00642	ko00640	ko00720	ko00960	ko02020	ko00120	ko00965	ko03008	ko05414	ko00290	ko04614	ko03410	ko05010	ko05012	ko00980	ko00410	ko00983	ko05150	ko00791	ko00790	ko05131	ko00020	ko00710	ko00196	ko02060	ko00340	ko00785	ko00550	ko00650	ko05223	ko05220	ko05221	ko02030	ko03320	ko04744	ko04745	ko00522	ko04612	ko04621	ko04622	ko00910	ko04971	ko00460	ko04970	ko00830	ko00780	ko00511	ko00970	ko00030	ko04972	ko00232	ko00230	ko04122	ko04120	ko00540	ko05014	ko00660	ko03020	ko04512	ko00982	ko04630	ko03010	ko00140	ko05100	ko00860	ko05410	ko00330	ko04080	ko04514	ko00908	ko04930	ko04320	ko03430	ko00906	ko00900	ko00901	ko04520	ko00903	ko00471	ko00472	ko00473	ko05111	ko04510	ko04810	ko04210	ko00240	ko04012	ko04013	ko04010	ko04011	ko00944	ko04113	ko04070	ko04640	ko04310	ko03420	ko00770	ko02040	ko04912	ko00670	ko04920	ko05160	ko04144	ko00930	ko04112	ko04720	ko04722	ko04075
KO1	20518.89	182550.61	293889.71	66485.01	170364.25	108720.9	16731.3	269639.5	39	68019.99	3	15605.32	315761.28	63	88401.57	3	25267.76	143365.85	117690.77	11077.26	160938.84	119166.94	23948.39	24458.12	14572.94	5826.8	18608.32	4804.82	3	0	1402.45	30.5	3114.67	7484.46	417.75	4605.84	542.65	148121.41	23398.72	8097.8	18801.21	177332.09	12	16423.95	10	16383.61	316960.81	484959.94	213642.04	58650.26	22607.78	44.34	19005.74	17823.83	34549.31	626.82	192789.95	3	304648.61	38089.68	172428.81	44.34	109	233495.77	218332.88	11550.31	104.87	458.74	16352.21	5	3	95220.14	29719.81	149452.12	79597.96	22307.91	381799.65	69983.94	14499.94	246351.76	25	40903.74	2869.79	7345.76	1842.41	7680.28	10957.44	163.16	3741.85	53542	25	277592.7	89371.19	0	6753.54	8868.34	112	3	10227.95	16379.61	12826.09	63	22098.3	7664.71	803.16	159176	37814.8	319043.35	37513.05	28155.86	36	16379.61	109	550.33	8849.34	46562.76	1365087.83	101795.84	0.33	7194.99	42021.98	133306.05	78317.71	218569.08	100537.71	13780.74	148606.41	109	107560.58	357018.54	13562.15	59330.99	35517.57	54	1085.24	6621.13	5546.25	47810.17	314074.18	98018.08	8948.29	16406.61	45.42	130077.84	76457.55	128898.81	43907.14	218015.96	165.5	151839.71	196010.79	53727.63	27559.24	322292.09	346423.65	50139.3	770247.62	5306.95	2753.81	20733.21	77.33	232026.24	3519.63	162108.58	47235.64	35023.93	84160.18	146485.74	66926.97	1815.04	23785.82	100132.04	51	270118.42	151566.67	224	30287.15	185725.33	22264.95	194645.75	349356.57	3	3.33	3	235303.54	103910.3	109	109	3.33	8849.34	8874.34	965.06	246054.64	114	105670.91	115	27624.27	43900.27	22645.99	289608.33	212027.37	122.35	2027.26	657455.81	97809.79	0	103625.34	36270.13	86798.77	188734.24	71.42	88701.17	3	559789.19	8111.25	142.7	294643.31	1524.48	397533.65	75.35	46.42	10268.98	11720.02	40	199490.6	20035.19	165435.33	2005.65	36	80492.99	41671.44	4899.35	30175.58	32166.97	29	65	17944.21	449483.05	3	3	3	14798.26	1463.32	17433.7	38155.2	67	0.33	123832.77	181372.91	267218.68	180.87	134732.57	47266.66	3	199.87	50458.79	170605.33	109	112	37.6
KO2	22540.77	190694.97	314932.5	80653.81	184656.12	122794.69	16318.55	296268.55	26	71441.3	0	18755.9	352751.55	50.5	96088.82	0	30259.82	153443.27	125234.74	11842.48	180835.77	132758.73	28547.72	25945.53	18050.9	8483.41	15264.89	5217.99	0	1	2174.5	25.5	3353.73	10046.93	346.5	5198.96	1001.58	167106.48	27041.75	11534.81	22045.56	191960.13	9	14317.39	13	14280.72	346187.06	520162.16	230255.15	65219.61	23944.98	37.67	21388.38	18480.36	34620.22	632.84	211833.42	0	285038.09	37074.04	188604.22	37.67	117	260850.36	243907.34	11160.42	54.5	436.1	17477.39	6	3	102105.45	34128.24	165372.79	85167.13	26854.79	410172.04	75491.74	20027.71	263692.34	19.5	49589.73	3390.94	10259.72	1105.25	11773.33	16911.79	432.67	6314.93	48175.91	19.5	311317.88	96307.61	3	7230.27	9754.41	117	0	10938.32	14279.72	15510.31	74	22541.07	9931.08	631.17	170634.28	43019.87	329688.31	44159.49	29267.24	26	14282.72	117	562.1	9732.41	51340.48	1462851.58	107504.16	2.33	12190.21	43725.71	143824.52	89577.49	239003.93	113808.16	19083.03	158245	117	117674.72	388436.98	12850.23	56748.16	35009.45	41	1050.64	6631.52	5823.03	52874.23	352845.15	112474.16	9813.04	14288.72	65.62	150747.58	78397.39	145369.08	46428.83	234815.12	174.6	156512.11	188202.89	58797.66	30929.19	354586.56	374820.79	52841.04	732739.8	6737.92	2882.65	22202.64	93.17	253687.62	3042.28	181137.75	43078.88	29568.61	77702.17	163610.29	75205.39	1662.54	23564.85	111722.62	42	298167.05	164717.47	618.08	33376.52	199289.2	23881.68	207401.65	385244.66	0	2.33	0	203322.35	118692.96	117	117	2.33	9732.41	9765.41	1049.11	259993.27	123	118412.2	124	30875.63	46308.08	27634.17	314116.75	234294.46	113.1	3037.33	706407.57	107693.44	3	88806.38	34352.17	93712	201631.36	86.12	83540.54	0	606632.67	10562.01	111.34	321485.81	1360.84	436010.04	71.1	66.62	11086.82	12286.61	30	213572.28	21334.74	185659.19	2306.48	26	96323.36	43993.53	4847.05	33233.88	27351.27	23.5	49.5	15901.38	485581.11	3	0	0	12374.38	1000.34	18775.51	40206.69	57.5	2.33	137939.29	194578.89	220603.24	145.5	146006.32	54625.71	0	216.17	58378.91	176613.23	117	117	38.6
KO3	22946.69	210861.52	347363.83	80348.07	202026.64	129861.15	20721.64	322415.93	14	80233.39	1	18823.44	374273.26	37.5	107172.3	1	31955.37	172143.52	143092.98	12556.41	192373.4	139998.61	31205.19	28500.42	18962.97	7549.4	20538.96	6598.96	1	1	1657.23	32	3799.97	9010.76	442.25	6168.06	687.87	178525.73	29383.79	8656.01	20927	209536.33	7	19681.1	25	19669.43	382788.34	569984.76	253147.03	71164.83	27282.21	19.67	21716.86	21315.19	38711.82	544.5	232989.48	1	347116.52	44966.19	203284.23	19.67	28	276065.74	251696.16	14133.57	76.7	556.23	19054.73	3	1	115037.17	34216.19	173271.45	94607.27	27111.74	447989.3	81847.62	17299.49	297170.96	25.5	48124.69	3454.15	9617.11	1894.58	8923.4	13550.76	308.17	4803.63	62975.76	25.5	326700.97	107354.58	0	7888.33	10274.28	29	1	12095.7	19661.43	15963.39	79	25050.49	9929.8	580.18	191710.79	47448.84	372193.26	44732.4	32947.56	13	19661.43	28	795.36	10264.28	55203.51	1621650.65	121397.32	1	8730.25	49593.93	161878.94	97613.72	254244.43	118804.3	17290.05	175216.71	28	125372.93	425466.08	15053.18	66765.48	42051.08	18	1447.05	8154	7798.96	58139.61	365684.58	116827.34	10555.46	19662.43	85.76	147818.11	90282.18	154367.87	52529.68	259782.31	57.7	181405.62	222422.94	64556.45	32513.9	382951.04	410304.22	60461.98	860826.51	7148.69	2922.35	23970.85	64.5	272859.45	3957.2	191188.5	55888.71	40229.39	96607.27	173088.56	82141.14	1946.52	27102.31	120521.18	25	320168.64	184449.88	938	32697.86	222007.31	26038.35	226834.82	415693.75	1	2	1	262785.59	119159.04	28	28	1	10264.28	10287.61	1526.33	297258.25	31	121518.46	32	33831.75	53307.72	27848.18	339971.54	250648.16	134.55	2549.07	776521.67	113642.53	0	118714	42290.89	103050.35	220241.22	111.26	101775.32	1	666484.95	11244.11	70.12	355729.35	1506.5	474540.83	106.55	85.76	12233.7	13417.11	13	235754.3	23779.05	195630.11	2313.17	13	99010.23	49513.62	5575.9	35709.62	34788.53	26.5	39.5	22006.79	537339.34	1	1	1	16382.56	1742.13	22036.78	45909.45	59.5	1	145037.48	215751.27	294429.06	92.7	165516.85	53983.83	1	248.7	60765.66	206257.11	28	29	42.8
KO4	23206.71	205784.55	337177.38	79568.69	193522.06	128629.69	20237.15	310482.81	3	77884.18	0	17632.53	366561.84	24	99723.53	0	30862.02	166027.41	135257.39	12256.03	182815.48	136209.96	27527.45	27281.37	16887.25	7449.91	20492.83	5511.89	0	0	1608.4	33	3602.83	8275.39	463.75	5421.57	556.53	171090.99	27248.91	9186.87	22570.86	201193.46	7	18417.35	1	18397.02	368943.28	551388.98	241973.97	67070.48	26578.68	22.33	21186.85	20366.56	38431.51	480.16	221069.32	0	341901.19	42644.6	195641.51	22.33	198	267887.1	250180.02	14220.97	36.17	606.32	18233.02	7	0	110624.62	32459.75	171434.84	90908.44	26191.19	436257.24	79299.84	17363.81	286644.65	15	47654.88	3114.41	8907.61	1848.07	8519.98	12629.61	170.41	4574.06	60466.49	15	313323.82	100455.29	0	7981.4	10205.54	198	0	11634.01	18395.02	14704.6	24	24761.35	9563.21	1171.55	185200.84	44476.41	363148.68	42800.82	33157.51	3	18395.02	198	533.53	10201.54	52639.7	1616690.04	116300.78	0.33	8700.47	49065.83	157895.79	92175.65	247426	114672	18081.28	166070.01	198	120154.05	404569.01	14890.26	67525.61	40257.23	14	1349.06	8104.45	6528.43	56546.02	365088.71	116164.21	10826.47	18413.02	52.73	153049.77	88491.64	152719.52	50081.41	248842.42	215.2	174616.2	218574.84	63714.14	31387.43	365004.48	389981.31	56598.84	877336.52	6544.51	3283.71	23097.42	40.99	263735.57	3845.42	186340.7	53013.5	38914.85	94401.12	166695	78456.29	1729.3	27323.76	116815.03	22	306888.84	174252.73	153.92	39261.33	212384.7	25310.21	221263.68	400348.46	0	0.33	0	269833.35	116757.83	198	198	1	10201.54	10223.87	1628.69	288024.37	205	122202	206	32162.73	49719.72	26924.79	328842.93	243606.08	91.85	2462.72	753424.95	111000.63	0	112478.23	41373.27	100046.65	213600.73	67.73	100080.81	0	635796.62	8590.94	55.49	338380.86	1518.73	461846.51	69.85	52.73	11673.54	13419.77	9	227022.93	22309.82	190653.9	2281.16	3	93814.7	47464.86	5014.2	34327.35	35408.19	15	18	20491.04	514927.96	0	0	0	16239.75	1647	20802.61	43982.99	28	0.33	141361.7	207023.74	303821.6	231.17	155265.69	53282.19	0	196.5	58476.28	195718.03	198	198	29.6
KO5	24584.24	228823.97	364694.22	79469.33	211342.75	136933.41	23453.5	334411.4	7	85754.94	0	17544.51	383973.99	45	111327.28	0	31613.8	183469.25	147418.88	13324.88	199347.27	142393.83	25982.67	29123.89	15799.09	6355.64	26677.3	6416.83	0	2	1122.98	28	3363.39	7150.48	594.09	5510.08	591.03	176611.58	28565.18	7980.57	21315.22	219412.06	4	23622.28	10	23593.95	399569.02	609900.84	264009.67	72350.65	30090.67	29.33	22569.45	23207.78	42885.67	495.84	236806.67	0	414510.7	49522.81	211862.79	29.33	47	289604.86	255144.24	16535.91	20.6	806.67	21224.97	3	1	123572.85	35617.65	184208.92	102073.41	26884.88	473761.79	86222.78	14677.8	308738.78	22	47627.07	2971.57	7584.68	2548.26	6582.22	10475.23	244.17	3522.38	74912.47	22	340832.79	113383.76	1	8628.58	10913.02	47	0	12584.75	23592.95	16006.81	25	27985.28	8343.11	695.21	210048.29	44276.9	413269.69	45712.4	36836.05	7	23593.95	47	455.5	10904.02	55541.34	1810964.05	129841.57	2	5829.66	55257.35	167583.37	95662.95	275757.22	119876.07	15706.9	182787.86	47	132724.89	448204.94	17535.37	78859.86	47121.05	24	1591.61	9278.63	8170.46	61918.77	378655.47	120094.48	11128.59	23600.95	20.76	147965.08	101337.87	158997.54	56853.06	272498.67	85	200429.91	254809.96	69038.96	34200.09	398181.6	425785.55	65399.25	1026135.6	6001.33	2959.38	25460.98	71.68	282030.91	4636.61	196865.84	65508.18	50281.25	115847.69	179513.5	80737.77	1894.2	32519.88	123498.14	38	326140.21	192634.09	827	38200.33	236138.4	27543.97	241820.97	430568.1	0	2	0	333615.67	121002.24	47	47	0.33	10904.02	10915.02	1788.52	322770.45	50	126975.49	50	35075.84	54827.91	23638.57	354954.04	258262.72	79.95	2093.15	820689.34	118339.37	1	144707.63	48527.59	107416.45	230556.19	43.76	120655.85	0	690777.68	8752.17	66.92	374198.79	1625.77	498257.53	52.95	21.76	12754.6	14444.06	22	249784.02	23692.35	203502.25	2296.17	7	98472.09	53887.42	6181.51	36809.65	43771.12	24	31	26247.75	559215.98	1	0	0	20704.68	1657.32	24270.73	49601.79	32	2	149459.08	225837.23	374344.25	60.6	172912.92	54431.92	0	182.6	61014.22	223713.24	47	47	15.2
